COD_ART,NOMBRE,DESCRIPCION,MARCA,UNIDAD,FAMILIA,SUBFAMILIA,IMAGEN,PRECIO_PVP,PRECIO_PRO_01
BAN-GRI-001,Grifo monomando lavabo cromado,Grifo monomando para lavabo con cartucho cerámico y acabado cromo brillo.,AquaPro,ud,Baños,Grifería,/images/articulos/grifo-monomando-lavabo-cromado.jpg,54.90,45.50
BAN-GRI-002,Columna de ducha termostática,"Columna de ducha con rociador superior, teleducha y mezclador termostático.",AquaPro,ud,Baños,Grifería,/images/articulos/columna-ducha-termostatica.jpg,199.00,169.00
BAN-GRI-003,Grifo de cocina extraíble,Grifo monomando de cocina con caño extraíble y doble chorro.,AquaPro,ud,Baños,Grifería,/images/articulos/grifo-cocina-extraible.jpg,79.00,66.00
BAN-MOB-001,Mueble bajo lavabo 80 cm,Mueble de baño suspendido con dos cajones de cierre suave.,NordBath,ud,Baños,Mobiliario,/images/articulos/mueble-bajo-lavabo-80cm.jpg,249.00,209.00
BAN-MOB-002,Espejo de baño con luz LED,Espejo retroiluminado con sistema antivaho y interruptor táctil.,NordBath,ud,Baños,Mobiliario,/images/articulos/espejo-bano-led.jpg,129.00,109.00
BAN-SAN-001,Inodoro suspendido con cisterna,Inodoro suspendido de porcelana con sistema de doble descarga.,NordBath,ud,Baños,Sanitarios,/images/articulos/inodoro-suspendido-cisterna.jpg,179.00,149.00
BAN-ACC-001,Toallero radiador eléctrico,"Toallero radiador eléctrico para baño, acabado blanco mate.",PAMACON,ud,Baños,Accesorios de baño,/images/articulos/toallero-radiador-electrico.jpg,119.00,99.00
BRI-LLA-001,"Llave ajustable 10"" cromo vanadio",Llave inglesa ajustable de 10 pulgadas en acero cromo vanadio.,PAMACON,ud,Bricolaje,Llaves ajustables,/images/articulos/llave-ajustable-10-pulgadas.jpg,9.90,7.95
BRI-LLA-002,Juego de llaves Allen 9 piezas,Set de llaves Allen hexagonales de distintas medidas en estuche.,PAMACON,set,Bricolaje,Llaves ajustables,/images/articulos/juego-llaves-allen-9pz.jpg,6.50,5.20
BRI-PAL-001,Rastrillo de jardín 14 púas,Rastrillo de acero con púas flexibles y mango regulable en altura.,AIRMEC,ud,Bricolaje,Palas y rastrillos,/images/articulos/rastrillo-jardin-14-puas.jpg,7.50,6.10
BRI-PAL-002,Pala de punta acero forjado,Pala de punta con hoja de acero forjado y mango de madera.,AIRMEC,ud,Bricolaje,Palas y rastrillos,/images/articulos/pala-punta-acero-forjado.jpg,13.90,11.50
BRI-TOR-001,Surtido tornillería 1000 piezas,"Caja surtida de tornillos, tuercas y arandelas de uso general.",PAMACON,caja,Bricolaje,Tornillería,/images/articulos/surtido-tornilleria-1000pz.jpg,24.90,20.50
BRI-CIN-001,Cinta americana multiuso 50mm,Cinta adhesiva textil de alta resistencia para reparaciones.,PAMACON,ud,Bricolaje,Cintas y adhesivos,/images/articulos/cinta-americana-50mm.jpg,4.20,3.40
